MissionID,MissionName,LaunchDate,Destination
M001,Lunar Exploration,2023-03-15,Moon
M002,Mars Rover,2023-06-22,Mars
M003,Asteroid Mining,2023-09-10,Asteroid Belt
M004,Jupiter Observation,2023-11-05,Jupiter
M005,Saturn's Rings Study,2024-01-20,Saturn
M006,Venus Atmospheric Analysis,2024-04-12,Venus
M007,Pluto Flyby,2024-08-30,Pluto
M008,Mercury Thermal Mapping,2024-11-18,Mercury
M009,Solar Survey,2025-02-14,Sun
M010,Comet Path Study,2025-05-10,Comet 67P
M011,Europa Ice Probe,2025-08-25,Europa
M012,Titan Atmospheric Mission,2025-11-09,Titan
M013,Neptune's Moons Exploration,2026-03-05,Neptune
M014,Kuiper Belt Objects Survey,2026-06-17,Kuiper Belt
M015,Exoplanet Search,2026-09-22,Exoplanet System
